id,bank_id,region_id,mortgage_type,real_estate_type,object_type,benefit_program,employment_type,min_age,max_age,min_finally_age,max_finally_age,feature_description,is_active,created_at,updated_at
371,9,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}","{noProgram,it,governmentSupport2020}",,0,100,0,100,Нужна регистрация по месту жительства на территории РФ — постоянная или временная,TRUE,2023-04-04 15:18:03,2023-04-04 15:18:03
372,9,"{1,4593,2,4588}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}",{noProgram},,0,100,0,100,Максимальная сумма кредита — до 100 млн ₽ при дополнительном согласовании,TRUE,2023-04-04 15:18:03,2023-04-04 15:18:03
373,9,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,TRUE,2023-04-04 15:18:03,2023-04-04 15:18:03
374,9,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",TRUE,2023-04-04 15:18:03,2023-04-04 15:18:03
775,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}","{mortgage,refinancing}","{newBuilding,secondary,houseBuilding}","{flat,apartments,house,carPlace}",{noProgram},,0,100,0,100,Комиссию за снижение ставки можно включить в сумму кредита,TRUE,2024-01-30 19:06:14,2024-01-30 19:06:14
776,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,secondary}","{flat,apartments}","{it,family,governmentSupport2020,noProgram}",,0,100,0,100,Первый взнос можно частично погасить материнским капиталом,TRUE,2024-01-30 19:06:14,2024-01-30 19:06:14
777,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},{newBuilding},{flat},{it},,51,100,0,100,Подходит заёмщикам от 20 до 50 лет,TRUE,2024-01-30 19:06:14,2024-01-30 19:06:14
778,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,TRUE,2024-01-30 19:06:14,2024-01-30 19:06:14
779,7,"{1,2,4588,4593,4560,4598,4618,4624,4633,4555,4584,4585,4615,4557,4561,4562,4564,4565,4566,4567,4572,4574,4576,4580,4581,4587,4589,4596,4599,4600,4602,4603,4606,4607,4608,4609,4612,4619,4620,4621,4623,4625,4630,4636,4629}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",TRUE,2024-01-30 19:06:14,2024-01-30 19:06:14
780,7,"{4554,4575,4579,4582,4591,4592,4622,4628,4558,4570,4583,4586,4594,4597,4601,4605,4614,4617,4595,4635}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,"Подходит, если средняя зарплата — от 70 000 ₽ до вычета налогов",TRUE,2024-01-30 19:06:14,2024-01-30 19:06:14
