"id","bank_id","region_id","mortgage_type","real_estate_type","object_type","benefit_program","employment_type","min_age","max_age","min_finally_age","max_finally_age","feature_description","is_active","created_at","updated_at","shadow_id"
371,9,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}","{noProgram,it,governmentSupport2020}",,0,100,0,100,Нужна регистрация по месту жительства на территории РФ — постоянная или временная,true,2023-04-04 15:18:03.000000 +00:00,2023-04-04 15:18:03.000000 +00:00,other
372,9,"{1,4593,2,4588}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}",{noProgram},,0,100,0,100,Максимальная сумма кредита — до 100 млн ₽ при дополнительном согласовании,true,2023-04-04 15:18:03.000000 +00:00,2023-04-04 15:18:03.000000 +00:00,other
373,9,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,true,2023-04-04 15:18:03.000000 +00:00,2023-04-04 15:18:03.000000 +00:00,other
374,9,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",true,2023-04-04 15:18:03.000000 +00:00,2023-04-04 15:18:03.000000 +00:00,other
1435,6,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,secondary}",{carPlace},{noProgram},businessOwner,0,100,0,100,Собственник бизнеса рассматривается банком только при подтверждении дохода 2НДФЛ,true,2024-01-30 18:42:50.908000 +00:00,2024-01-30 18:42:50.908000 +00:00,income
1030,3,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},{secondary},{flat},{noProgram},,0,100,0,100,"Первый взнос от 10%, если заёмщик — зарплатный клиент банка",true,2023-09-12 19:00:00.000000 +00:00,2023-09-12 19:00:00.000000 +00:00,other
1436,6,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},"{newBuilding,secondary}","{flat,apartments}",{noProgram},businessOwner,0,100,0,100,Собственник бизнеса рассматривается банком только при подтверждении дохода 2НДФЛ,true,2024-01-30 18:42:50.908000 +00:00,2024-01-30 18:42:50.908000 +00:00,income
1395,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}","{mortgage,refinancing}","{newBuilding,secondary,houseBuilding}","{flat,apartments,house,carPlace}",{noProgram},,0,100,0,100,Комиссию за снижение ставки можно включить в сумму кредита,true,2024-01-30 16:06:13.616000 +00:00,2024-01-30 16:06:13.616000 +00:00,rateCommission
1396,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,secondary}","{flat,apartments}","{it,family,governmentSupport2020,noProgram}",,0,100,0,100,Первый взнос можно частично погасить материнским капиталом,true,2024-01-30 16:06:13.616000 +00:00,2024-01-30 16:06:13.616000 +00:00,other
1397,7,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},{newBuilding},{flat},{it},,51,100,0,100,Подходит заёмщикам от 20 до 50 лет,true,2024-01-30 16:06:13.616000 +00:00,2024-01-30 16:06:13.616000 +00:00,borrower
