"id","bank_id","condition","rate","region_id","mortgage_type","real_estate_type","object_type","benefit_program","employment_type","loan_amount_min","loan_amount_max","is_active","created_at","updated_at","shadow_id"
355,3,зарплатный банк = текущий банк,-0.30,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,secondary}","{flat,apartments}",{noProgram},,,3000000,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,355
354,9,страхование жизни = нет,1.00,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{governmentSupport2020},,,,true,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,354
1024,2,подтверждение дохода = без подтверждения,0.50,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},{secondary},"{flat,apartments}",{noProgram},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1025
1025,2,зарплатный банк = текущий банк,-0.20,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},{secondary},"{flat,apartments,house}",{noProgram},,,6000000,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1026
1049,5,страхование жизни = нет,0.50,"{1,2,4588,4593,4560,4598,4618,4624,4633,4555,4584,4585,4615,4557,4561,4562,4564,4565,4566,4567,4572,4574,4576,4580,4581,4587,4589,4596,4599,4600,4602,4603,4606,4607,4608,4609,4612,4619,4620,4621,4623,4625,4630,4636,4629}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1050
1050,5,страхование жизни = нет,0.50,"{4554,4575,4579,4582,4591,4592,4622,4628,4558,4570,4583,4586,4594,4597,4601,4605,4614,4617,4595,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1051
1051,5,зарплатный банк = текущий банк,-0.20,"{1,2,4588,4593,4560,4598,4618,4624,4633,4555,4584,4585,4615,4557,4561,4562,4564,4565,4566,4567,4572,4574,4576,4580,4581,4587,4589,4596,4599,4600,4602,4603,4606,4607,4608,4609,4612,4619,4620,4621,4623,4625,4630,4636,4629}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1052
1053,5,зарплатный банк = текущий банк,-0.20,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{family},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1054
1054,5,зарплатный банк = текущий банк,-0.20,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},"{newBuilding,houseBuilding}","{flat,house}",{family},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1055
1055,5,зарплатный банк = текущий банк,-0.20,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{governmentSupport2020},,,,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1056
