"id","bank_id","region_id","mortgage_type","real_estate_type","object_type","benefit_program","employment_type","min_age","max_age","min_finally_age","max_finally_age","feature_description","is_active","created_at","updated_at","shadow_id"
393,7,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}","{it,governmentSupport2020,family,noProgram}",,0,100,0,100,"Ставка ниже до 1,1% по акции «Выгодная ипотека с Халвой» — размер скидки зависит от программы и комиссии за снижение",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,393
345,1,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,secondary}","{flat,house,apartments}",{noProgram},,0,100,0,100,"Ставка ниже на 2,99%, если подключить опцию «Хочу ниже!» у персонального менеджера",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,345
346,1,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,houseBuilding,secondary}","{flat,house,apartments}","{noProgram,governmentSupport2020,it,family}",,0,100,0,100,Не нужна регистрация по месту жительства или пребывания,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,346
347,1,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,houseBuilding,secondary}","{flat,house,apartments}","{noProgram,governmentSupport2020,it,family}",,0,100,0,100,Пенсия может учитываться как дополнительный доход,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,347
348,1,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,houseBuilding,secondary}","{flat,house,apartments}","{noProgram,governmentSupport2020,it,family}",,0,100,0,100,До 90% первоначального взноса можно погасить материнским капиталом,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,348
349,1,"{1,4593,2,4588,4598}","{mortgage,refinancing}",{secondary},"{flat,house,apartments}",{noProgram},,0,100,0,100,"Ставка выше на 0,3%, если нет титульной страховки на 3 года",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,349
354,1,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,51,100,0,100,Подходит заёмщикам от 22 до 50 лет,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,354
467,7,"{4554,4575,4579,4582,4591,4592,4622,4628,4558,4570,4583,4586,4594,4597,4601,4605,4614,4617,4595,4635}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,"Подходит, если средняя зарплата — от 70 000 ₽ до вычета налогов",true,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1069
443,5,"{1,2,4588,4593,4560,4598,4618,4624,4633,4555,4584,4585,4615,4557,4561,4562,4564,4565,4566,4567,4572,4574,4576,4580,4581,4587,4589,4596,4599,4600,4602,4603,4606,4607,4608,4609,4612,4619,4620,4621,4623,4625,4630,4636,4629}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1045
444,5,"{4554,4575,4579,4582,4591,4592,4622,4628,4558,4570,4583,4586,4594,4597,4601,4605,4614,4617,4595,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"Подходит, если средняя зарплата — от 70 000 ₽ до вычета налогов",false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1046
445,5,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1047
446,5,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,51,100,0,100,Подходит заёмщикам от 21 до 50 лет,false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1048
447,5,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"""Есть субсидии на объекты от застройщика:
• от 18 млн ₽ — для регионов-миллионников;
• от 9 млн ₽ — для других регионов""",false,2023-09-12 22:00:00.000,2023-09-12 22:00:00.000,1049
357,1,"{1,4593,2,4588,4598}",{refinancing},"{newBuilding,secondary}","{flat,apartments}",{noProgram},,0,100,0,100,"Максимальная дополнительная сумма, которую можно взять по программе ""Рефинансирование с дополнительной суммой"" — до 60% от остатка задолженности по ипотеке",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,357
358,1,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary,houseBuilding}","{flat,apartments,house}","{noProgram,governmentSupport2020,it,family}",,50,100,0,100,"Если заёмщику от 50 лет, кредит нужно погасить до 75-летия",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,358
359,1,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary,houseBuilding}","{flat,apartments,house}","{noProgram,governmentSupport2020,it,family}",selfEmployed,50,100,0,100,Срок регистрации самозанятости — от 4 месяцев,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,359
360,5,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,360
362,5,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,362
363,5,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,51,100,0,100,Подходит заёмщикам от 21 до 50 лет,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,363
364,5,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"""Есть субсидии на объекты от застройщика:
• от 18 млн ₽ — для регионов-миллионников;
• от 9 млн ₽ — для других регионов""",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,364
365,5,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,houseBuilding}","{flat,house}","{family,governmentSupport2020}",,0,100,0,100,"Есть субсидии на объекты от застройщика:
• от 12 млн ₽ — для Москвы, МО, Санкт-Петербурга и ЛО;
• от 6 млн ₽ — для других регионов",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,365
366,5,"{1,4593,2,4588,4598}",{mortgage},{secondary},{house},{noProgram},,0,100,0,100,"Первый взнос — от 20%, если покупать у первого собственника дом с участком не старше 2 лет",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,366
367,5,"{1,4593,2,4588,4598}",{mortgage},{secondary},{house},{noProgram},,0,100,0,100,"Ставки при покупке у первого собственника дома с участком не старше 2 лет:
• 11,3% — если подтвердить доход;
• 11,8% — если не подтверждать доход",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,367
368,5,"{1,4593,2,4588,4598}",{mortgage},{secondary},{flat},{noProgram},,0,100,0,100,"Ставка 8,99%, если оплатить комиссию за снижение — она рассчитывается индивидуально ",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,368
369,5,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}","{family,it,governmentSupport2020}",,0,100,0,100,"Скидки на ставки — все суммируются:
• 0,2% — если закладная в электронном виде;
• 0,2% — если банк финансирует строительство объекта;
• 0,5% — если дом строят с домокомплектом",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,369
370,5,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{noProgram},,0,100,0,100,"Скидки на ставки — все суммируются:
• 0,2% — если закладная в электронном виде;
• 0,2% — если банк финансирует строительство объекта",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,370
379,3,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}",{noProgram},,0,100,0,100,"Подходит, если стаж работы заёмщика:
• Больше 2 лет, на последнем месте — 3 месяца;
• Больше 1 года, на последнем месте — полгода;
• 1 год, если это первое место работы.",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,379
380,3,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary}","{flat,apartments,house}",{noProgram},,0,100,0,100,"Ставка ниже на 0,5–1% на весь срок кредита, если оплатить комиссию",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,380
340,6,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,21,0,100,Подходит заёмщикам от 22 до 50 лет,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,340
382,3,"{1,4593,2,4588,4598}",{mortgage},{secondary},{house},{noProgram},,0,100,0,100,Программа «Дом» — только для зарплатных клиентов,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,382
383,4,"{1,4593,2,4588}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"Минимальная сумма кредита:
• 600 000 ₽ — на объект в Москве, МО, Санкт-Петербурге и ЛО;
• 300 000 ₽ — на объект в другом регионе",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,383
384,4,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,384
385,4,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,51,100,0,100,Подходит заёмщикам от 20 до 50 лет,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,385
386,4,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,386
388,4,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{family},,0,100,0,100,"Ставка ниже на 1,5% по акции «Назначь свою ставку»",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,388
389,4,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,secondary,houseBuilding}","{flat,house,apartments,carPlace}",{noProgram},,0,100,0,100,"Ставка ниже на 1,5% по акции «Назначь свою ставку»",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,389
391,4,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}","{it,governmentSupport2020,family}",,71,75,0,100,"Ставка ниже, если оплатить комиссию:
• на 0,5% — за 1% от кредита;
• на 1% — за 2,5% от кредита.",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,391
394,7,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,secondary,houseBuilding}","{flat,apartments,house,carPlace}",{noProgram},,0,100,0,100,Комиссию за снижение ставки можно включить в сумму кредита,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,394
395,7,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,secondary}","{flat,apartments,house}","{it,family,governmentSupport2020,noProgram}",,0,100,0,100,Первый взнос можно частично погасить материнским капиталом,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,395
396,7,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,51,100,0,100,Подходит заёмщикам от 20 до 50 лет,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,396
397,7,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,Подходит сотрудникам IT-компаний с аккредитацией Минцифры РФ,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,397
398,7,"{1,4593,2,4588,4598}",{mortgage},{newBuilding},{flat},{it},,0,100,0,100,"Подходит, если средняя зарплата — от 150 000 ₽ до вычета налогов для Москвы и от 120 000 ₽ до вычета налогов для остальных регионов-миллионников",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,398
400,7,"{1,4593,2,4588,4598}","{mortgage,refinancing}","{newBuilding,houseBuilding,secondary}","{flat,apartments,house,carPlace}","{it,family,governmentSupport2020,noProgram}",,71,85,0,100,"Подходит заёмщикам от 71 до 85 лет, чей основной доход — пенсия, или есть работающий созаёмщик",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,400
401,2,"{1,4593,2,4588,4598}",{mortgage},{secondary},"{flat,apartments,house,carPlace}","{it,family,governmentSupport2020,noProgram}",,0,100,0,100,"Ставка ниже на 1%, если оплатить титульную страховку — не суммируется со скидками за страхование жизни и зарплатным клиентам банка",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,401
402,2,"{1,4593,2,4588,4598}",{refinancing},"{newBuilding,houseBuilding,secondary}","{flat,apartments,house,carPlace}","{it,family,governmentSupport2020,noProgram}",,0,100,0,100,"Ставка выше на 3%, если не регистрировать залог больше 60 дней",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,402
355,1,"{1,4593,2,4588,4598}",{mortgage},"{newBuilding,houseBuilding}","{flat,house}",{it},,18,21,0,100,Подходит заёмщикам от 22 до 50 лет,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,355
403,2,"{1,4593,2,4588,4598}",{refinancing},"{newBuilding,houseBuilding,secondary}","{flat,apartments,house,carPlace}","{it,family,governmentSupport2020,noProgram}",,0,100,0,100,"Ставка выше на 3%, если не предоставить документы о погашении кредитов",false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,403
404,2,"{1,4593,2,4588,4598}","{mortgage,refinancing}",{newBuilding},{flat},{family},,0,100,0,100,Нужна страховка жизни и здоровья — оформляется вместе с ипотекой,false,2023-04-04 15:18:03.000,2023-04-04 15:18:03.000,404
