"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id"
704,1,4.80,{},regions_lte_million,mortgage,{newBuilding},{flat},it,36,360,{confirmation},600000,9000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100926
705,1,8.00,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,12000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100921
706,1,8.00,{},regions,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,6000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100922
707,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,12000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100923
708,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,6000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100924
709,1,4.80,{},regions_gte_million,mortgage,{newBuilding},{flat},it,36,360,{confirmation},600000,18000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100925
710,1,5.80,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,12000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100927
711,1,5.80,{},regions,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,6000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100928
712,1,15.59,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100929
713,1,15.59,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100930
714,1,15.09,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100931
100692,4,13.55,{},regions,mortgage,{houseBuilding},{house},noProgram,36,420,{noConfirmation},300000,15000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100692
100690,4,13.55,{},regions,mortgage,{houseBuilding},{house},noProgram,36,420,{confirmation},300000,15000000,25.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100690
100697,1,12.89,"{1,4593,2,4588}",,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100697
100698,1,12.89,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100698
100699,1,12.39,"{1,4593,2,4588}",,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100699
100700,1,12.39,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100700
100701,1,12.89,"{1,4593,2,4588}",,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100701
100702,1,12.89,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,15000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100702
100190,5,5.30,{},regions,refinancing,{houseBuilding},{house},family,36,360,"{confirmation,noConfirmation}",500000,15000000,15.00,89.90,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100190
715,1,15.09,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100932
716,1,15.59,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100933
