"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id","updated_at"
1553,1,8.00,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101905,2023-12-04 18:00:00.000 +0300
1554,1,8.00,{},regions,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,12000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101906,2023-12-04 18:00:00.000 +0300
1555,1,7.80,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,30000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101907,2023-12-04 18:00:00.000 +0300
1556,1,7.80,{},regions,mortgage,{houseBuilding},{house},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,12000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101908,2023-12-04 18:00:00.000 +0300
1557,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101909,2023-12-04 18:00:00.000 +0300
1558,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,15000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101910,2023-12-04 18:00:00.000 +0300
1559,1,5.80,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},family,36,360,"{confirmation,noConfirmation}",600000,30000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101911,2023-12-04 18:00:00.000 +0300
1560,1,5.80,{},regions,mortgage,{houseBuilding},{house},family,36,360,"{confirmation,noConfirmation}",600000,15000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101912,2023-12-04 18:00:00.000 +0300
1561,1,5.80,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,12000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101913,2023-12-04 18:00:00.000 +0300
1562,1,5.80,{},regions,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,6000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101914,2023-12-04 18:00:00.000 +0300
704,1,4.80,{},regions_lte_million,mortgage,{newBuilding},{flat},it,36,360,{confirmation},600000,9000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100926,2023-09-22 14:00:03.000 +0300
705,1,8.00,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,12000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100921,2023-09-22 14:00:03.000 +0300
706,1,8.00,{},regions,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,6000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100922,2023-09-22 14:00:03.000 +0300
707,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,12000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100923,2023-09-22 14:00:03.000 +0300
708,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,6000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100924,2023-09-22 14:00:03.000 +0300
709,1,4.80,{},regions_gte_million,mortgage,{newBuilding},{flat},it,36,360,{confirmation},600000,18000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee}","{permanent,temporary,noRegistration}",false,2023-09-22 14:00:03.000 +0300,100925,2023-09-22 14:00:03.000 +0300
1563,1,16.59,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101915,2023-12-04 18:00:00.000 +0300
1564,1,16.59,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101916,2023-12-04 18:00:00.000 +0300
1565,1,17.09,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101917,2023-12-04 18:00:00.000 +0300
1566,1,17.09,{},regions,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101918,2023-12-04 18:00:00.000 +0300
1567,1,16.69,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101919,2023-12-04 18:00:00.000 +0300
