"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id","updated_at","id","bank_id","region_id","mortgage_type","real_estate_type","object_type","benefit_program","employment_type","min_age","max_age","min_finally_age","max_finally_age","feature_description","is_active","created_at","updated_at","shadow_id"
1578,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,{confirmation},600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101942,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1576,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,30000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101940,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1582,1,5.80,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,12000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101946,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1583,1,5.80,{},regions,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,6000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101947,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1584,1,5.80,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,360,{confirmation},600000,12000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101948,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1585,1,5.80,{},regions,refinancing,{newBuilding},{flat},family,36,360,{confirmation},600000,6000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101949,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1577,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,15000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101941,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1579,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,{confirmation},600000,15000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101943,2023-12-18 21:39:26.783 +0300,714,1,"{1,2,4588,4593,4560,4598,4554,4575,4579,4582,4591,4592,4618,4622,4624,4628,4633,4555,4584,4585,4615,4557,4558,4561,4562,4564,4565,4566,4567,4570,4572,4574,4576,4580,4581,4583,4586,4587,4589,4594,4596,4597,4599,4600,4601,4602,4603,4605,4606,4607,4608,4609,4612,4614,4617,4619,4620,4621,4623,4625,4630,4636,4595,4629,4635}",{refinancing},{newBuilding},{flat},{family},selfEmployed,0,100,0,100,"Для категории ""Самозанятый"" для рассмотрения заявки необходимо предоставить справку о состоянии расчетов (доходах) по налогу на профессиональный доход.",true,2023-12-04 18:00:00.000,2023-12-04 18:00:00.000,1334
1549,1,4.80,{},regions_gte_million,mortgage,{newBuilding},{flat},it,36,360,"{confirmation,noConfirmation}",600000,30000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-04 18:00:00.000 +0300,101901,2023-12-04 18:00:00.000 +0300,600,1,"{4608,1,2,4609,4612,4614,4615,4617,4618,4619,4620,4621,4622,4623,4624,4625,4628,4629,4630,4633,4635,4636,4554,4555,4557,4558,4560,4561,4562,4564,4565,4566,4567,4570,4572,4574,4575,4576,4579,4580,4581,4582,4583,4584,4585,4586,4587,4588,4589,4591,4592,4593,4594,4595,4596,4597,4598,4599,4600,4601,4602,4603,4605,4606,4607}",{mortgage},{newBuilding},{flat},{it},employee,51,,0,100,Подходит заёмщикам от 22 до 50 лет,true,2023-11-15 19:51:23.894,2023-11-15 19:51:23.894,1191
1550,1,4.80,{},regions_lte_million,mortgage,{newBuilding},{flat},it,36,360,"{confirmation,noConfirmation}",600000,15000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-04 18:00:00.000 +0300,101902,2023-12-04 18:00:00.000 +0300,600,1,"{4608,1,2,4609,4612,4614,4615,4617,4618,4619,4620,4621,4622,4623,4624,4625,4628,4629,4630,4633,4635,4636,4554,4555,4557,4558,4560,4561,4562,4564,4565,4566,4567,4570,4572,4574,4575,4576,4579,4580,4581,4582,4583,4584,4585,4586,4587,4588,4589,4591,4592,4593,4594,4595,4596,4597,4598,4599,4600,4601,4602,4603,4605,4606,4607}",{mortgage},{newBuilding},{flat},{it},employee,51,,0,100,Подходит заёмщикам от 22 до 50 лет,true,2023-11-15 19:51:23.894,2023-11-15 19:51:23.894,1191
